"grna_target","response_id","t_test","wilcoxon_test"
"candidate_enh_1","ENSG00000141933",0.98309649705706,22300780.1855469
"candidate_enh_1","ENSG00000141934",0.957796849605583,22140753.6914062
"candidate_enh_1","ENSG00000160953",0.800523987809976,21786762.8730469
"candidate_enh_1","ENSG00000167468",0.943858733107489,21712257.4111328
"candidate_enh_1","ENSG00000167470",0.425646876367209,22189136.1123047
"candidate_enh_1","ENSG00000172081",0.251276874928593,21793348.5
"candidate_enh_1","ENSG00000172232",0.141573639714719,22221334.5
"candidate_enh_1","ENSG00000172270",0.161187555336465,22021088.8686523
"candidate_enh_1","ENSG00000175221",0.730199834660244,22214287.4211426
"candidate_enh_1","ENSG00000180448",0.274894633407677,21901579.5
"candidate_enh_1","ENSG00000181588",0.209799133798714,22214275
"candidate_enh_1","ENSG00000181781",0.150670728723012,22162983.5
"candidate_enh_1","ENSG00000182087",0.707743630152956,22329353.8583984
"candidate_enh_1","ENSG00000185198",0.356838617991773,22280248
"candidate_enh_1","ENSG00000185761",0.656945975573734,21880463.5
"candidate_enh_1","ENSG00000196415",0.428482242303024,22104374.5
"candidate_enh_1","ENSG00000197540",0.139396316947268,22224883
"candidate_enh_1","ENSG00000197766",0.647411860339835,22418195.4882812
"candidate_enh_1","ENSG00000198858",0.675636201304434,22210889.5292969
"candidate_enh_1","ENSG00000213638",0.150135209917093,21761483.5
"candidate_enh_1","ENSG00000227500",0.755541910797488,21996999.4863281
"candidate_enh_1","ENSG00000228300",0.199600776450792,22495532.5195312
"candidate_enh_1","ENSG00000005007",0.704033057073233,22159316.0678711
"candidate_enh_1","ENSG00000006015",0.964462739259897,21910202.1875
"candidate_enh_1","ENSG00000006016",0.921935299243697,22067995
"candidate_enh_1","ENSG00000051128",0.60136631511506,21890246.5
"candidate_enh_1","ENSG00000064490",0.512670554122429,22065705.3730469
"candidate_enh_1","ENSG00000064545",0.94422707986162,22195210.9936523
"candidate_enh_1","ENSG00000064547",0.272587567028158,21944782
"candidate_enh_1","ENSG00000064607",0.48051788233872,21536533.6953125
"candidate_enh_1","ENSG00000089639",0.197604752726865,22221939
"candidate_enh_1","ENSG00000105655",0.33399324993477,21635145.7583008
"candidate_enh_1","ENSG00000105656",0.190905602390558,22214537.9165039
"candidate_enh_1","ENSG00000105662",0.520427885533308,21923257.5
"candidate_enh_1","ENSG00000105669",0.388918812219501,21565754.0009766
"candidate_enh_1","ENSG00000105671",0.97167489969556,22056733.125
"candidate_enh_1","ENSG00000105676",0.832923733341059,21963043.1113281
"candidate_enh_1","ENSG00000105696",0.677070419077632,22027024.5
"candidate_enh_1","ENSG00000105700",0.800159777495962,22077985.8686523
"candidate_enh_1","ENSG00000105701",0.320460258309845,22364741.0576172
"candidate_enh_1","ENSG00000105705",0.860839599099256,22130627.338623
"candidate_enh_1","ENSG00000105708",0.1553790102085,22286527.5
"candidate_enh_1","ENSG00000105717",0.675059476444001,21968409.5
"candidate_enh_1","ENSG00000105726",0.661475664111618,22098556.7841797
"candidate_enh_1","ENSG00000129933",0.572913498923776,21964189.5
"candidate_enh_1","ENSG00000130511",0.853133656033974,21933675.3076172
"candidate_enh_1","ENSG00000130513",0.171112655263461,21849196.8144531
"candidate_enh_1","ENSG00000160161",0.983648347564529,22058040
"candidate_enh_1","ENSG00000167487",0.357377200044915,22157364.5
"candidate_enh_1","ENSG00000167491",0.819513746051176,21828365.7392578
"candidate_enh_1","ENSG00000178093",0.957899950561368,22043502.5
"candidate_enh_1","ENSG00000181035",0.0278064711733304,21385640.5776367
"candidate_enh_1","ENSG00000181896",0.000687092832121989,21394230.5
"candidate_enh_1","ENSG00000184162",0.554398898796711,22383714.8427734
"candidate_enh_1","ENSG00000186010",0.955658611494052,21877866.4960938
"candidate_enh_1","ENSG00000213988",0.814890474580665,22034154.833252
"candidate_enh_1","ENSG00000221983",0.916038166562412,21832000.9511719
"candidate_enh_1","ENSG00000223802",0.692099509632121,22031581.5
"candidate_enh_1","ENSG00000250067",0.828153520911096,22001100.5
"candidate_enh_1","ENSG00000254901",0.840017378880267,21821510.1713867
"candidate_enh_1","ENSG00000256771",0.0301056622209651,22604652
"candidate_enh_1","ENSG00000010361",0.420932115818437,22170865.5
"candidate_enh_1","ENSG00000039650",0.90872016587187,22123700.5820312
"candidate_enh_1","ENSG00000062822",0.693957582382712,22126430.5
"candidate_enh_1","ENSG00000104946",0.660190945021085,22025629.5
"candidate_enh_1","ENSG00000104960",0.26400264571392,21810202.2519531
"candidate_enh_1","ENSG00000104973",0.739443504651293,21931189.0527344
"candidate_enh_1","ENSG00000105053",0.452032718504365,22413279.2753906
"candidate_enh_1","ENSG00000105374",0.857482212012145,22065295.5
"candidate_enh_1","ENSG00000105379",0.718675396809439,21973824.2939453
"candidate_enh_1","ENSG00000105383",0.539689710777672,22000253.5644531
